project_index,group,project_root,style,name,length
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,右侧,BD,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,右侧,JD,0.0
11,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/19000 220kV母联测控柜,右侧,TD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,左侧,2-21C1D,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,左侧,2-21CD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,左侧,2-21GD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,左侧,2-21ID,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,左侧,2-21QD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,左侧,2-21UD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,左侧,4-21CD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,左侧,4-21GD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,左侧,4-21QD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,左侧,4-21WD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,左侧,HD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,左侧,JD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,左侧,TD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,左侧,ZD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,右侧,1-21C1D,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,右侧,1-21CD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,右侧,1-21GD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,右侧,1-21ID,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,右侧,1-21QD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,右侧,1-21UD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,右侧,3-21C1D,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,右侧,3-21CD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,右侧,3-21GD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,右侧,3-21ID,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,右侧,3-21QD,0.0
12,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/20000 主变测控柜1,右侧,3-21UD,0.0
13,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/21000 同步相量测量主机柜,左侧,ZD,0.0
13,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/21000 同步相量测量主机柜,左侧,25YD,0.0
13,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/21000 同步相量测量主机柜,左侧,40YD,0.0
13,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/21000 同步相量测量主机柜,左侧,TD,0.0
13,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/21000 同步相量测量主机柜,左侧,JD,0.0
13,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/21000 同步相量测量主机柜,左侧,BD,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25GD,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25I1D,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25I2D,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25I3D,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25I4D,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25I5D,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25I6D,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25I7D,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25I8D,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25QD,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25U1D,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25U2D,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25U3D,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25U4D,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25U5D,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25U6D,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25U7D,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25U8D,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25YD,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,1-25ZLD,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,左侧,ZD,0.0
14,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜,右侧,2-25GD,0.0
